date,avg_infect_ratio,stage,area
2020-08-22,5.114535940764673e-07,0.3333333333333333,面合
2020-08-23,3.0687215644588035e-07,0.6666666666666666,面合
2020-10-11,0.0,0.6666666666666666,面合
2020-10-12,2.045814376305869e-07,0.3333333333333333,面合
2020-11-30,7.876385348777595e-06,0.3333333333333333,面合
2020-12-01,4.603082346688205e-06,0.5,面合
2020-12-06,6.546606004178781e-06,0.5,面合
2020-12-07,8.285548224038771e-06,0.6666666666666666,面合
2021-02-14,1.534360782229402e-06,0.6666666666666666,面合
2021-02-15,3.4778844397199773e-06,0.5,面合
2021-06-13,2.9664308456435096e-06,0.5,面合
2021-06-14,0.0,0.3333333333333333,面合
