날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-22,2.6106598088363e-06,0.3333333333333333,전남
2020-08-23,5.314557467988183e-06,0.6666666666666666,전남
2020-10-11,1.8647570063116433e-07,0.6666666666666666,전남
2020-10-12,9.323785031558216e-08,0.3333333333333333,전남
2020-11-23,7.831979426508902e-06,0.3333333333333333,전남
2020-11-24,5.128081767357018e-06,0.5,전남
2020-12-07,2.051232706942807e-06,0.5,전남
2020-12-08,2.9836112100986284e-06,0.6666666666666666,전남
2021-02-14,4.661892515779108e-07,0.6666666666666666,전남
2021-02-15,4.475416815147943e-06,0.5,전남
2021-05-02,2.051232706942807e-06,0.5,전남
2021-05-03,6.9928387736686615e-06,0.3333333333333333,전남
