date,avg_infect_ratio,stage,area
2020-08-22,3.244435792615664e-06,0.3333333333333333,堡林
2020-08-23,9.173921896361533e-06,0.6666666666666666,堡林
2020-10-11,0.0,0.6666666666666666,堡林
2020-10-12,1.1187709629709186e-07,0.3333333333333333,堡林
2020-11-30,7.943273837093522e-06,0.3333333333333333,堡林
2020-12-01,3.0206816000214802e-06,0.5,堡林
2020-12-06,4.25132965928949e-06,0.5,堡林
2020-12-07,5.258223525963317e-06,0.6666666666666666,堡林
2021-02-14,4.922592237072042e-06,0.6666666666666666,堡林
2021-02-15,2.685050311130205e-06,0.5,堡林
2021-06-13,2.0137877333476536e-06,0.5,堡林
2021-06-14,3.356312888912756e-07,0.3333333333333333,堡林
