date,avg_infect_ratio,stage,area
2020-08-22,6.153525840461544e-06,0.3333333333333333,인천
2020-08-23,9.371424674464369e-06,0.6666666666666666,인천
2020-10-11,1.12908731017643e-06,0.6666666666666666,인천
2020-10-12,1.5807222342470017e-06,0.3333333333333333,인천
2020-11-30,8.411700460814403e-06,0.3333333333333333,인천
2020-12-01,9.484333405482012e-06,0.5,인천
2020-12-06,9.484333405482012e-06,0.5,인천
2020-12-07,1.6484674728575878e-05,0.6666666666666666,인천
2021-02-14,8.524609191832047e-06,0.6666666666666666,인천
2021-02-15,8.411700460814403e-06,0.5,인천
2021-06-13,6.0970714749527224e-06,0.5,인천
2021-06-14,3.3872619305292905e-07,0.3333333333333333,인천
