,날짜,조정단계,지역,해당조정단계_감염자비율
158,2020-10-11,0.6666666666666666,제주,0.0
160,2020-11-30,0.3333333333333333,제주,1.8795635803731462e-06
162,2020-12-06,0.5,제주,2.3807805351393187e-06
164,2021-02-14,0.6666666666666666,제주,2.6313890125224045e-06
166,2021-06-13,0.5,제주,4.8868653089701785e-06
168,2020-08-22,0.3333333333333333,충남,1.637235268575881e-06
170,2020-10-11,0.6666666666666666,충남,2.2845143282454154e-07
172,2020-11-30,0.3333333333333333,충남,5.482834387788997e-06
174,2020-12-06,0.5,충남,6.0539629698503506e-06
176,2021-02-14,0.6666666666666666,충남,5.558984865397178e-06
178,2021-06-13,0.5,충남,8.757304924940758e-07
180,2020-08-22,0.3333333333333333,충북,4.0916287526117387e-07
182,2020-10-11,0.6666666666666666,충북,1.0229071881529345e-07
184,2020-11-30,0.3333333333333333,충북,6.2397338477329006e-06
186,2020-12-06,0.5,충북,7.416077114108776e-06
188,2021-02-14,0.6666666666666666,충북,2.50612261097469e-06
190,2021-06-13,0.5,충북,1.4832154228217548e-06
