날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-22,4.824158332384947e-06,0.3333333333333333,강원
2020-08-23,4.4952384460859735e-06,0.6666666666666666,강원
2020-10-11,3.289198862989737e-07,0.6666666666666666,강원
2020-10-12,6.578397725979474e-07,0.3333333333333333,강원
2020-11-30,9.86759658896921e-06,0.3333333333333333,강원
2020-12-01,5.701278029182211e-06,0.5,강원
2020-12-06,5.262718180783579e-06,0.5,강원
2020-12-07,1.096399620996579e-05,0.6666666666666666,강원
2021-02-14,3.6181187492887106e-06,0.6666666666666666,강원
2021-02-15,3.7277587113883684e-06,0.5,강원
2021-06-13,8.661557005872973e-06,0.5,강원
2021-06-14,1.096399620996579e-07,0.3333333333333333,강원
2020-08-15,1.7292062943109113e-06,0.3333333333333333,경기
2020-08-16,4.586155824041982e-06,0.5,경기
2020-08-18,3.3832297062604788e-06,0.5,경기
2020-08-19,4.573625343648425e-06,0.6666666666666666,경기
2020-08-29,4.247832853415934e-06,0.6666666666666666,경기
2020-08-30,2.8569495297310704e-06,0.8333333333333334,경기
2020-09-13,1.904633019820714e-06,0.8333333333333334,경기
2020-09-14,1.378352843291306e-06,0.6666666666666666,경기
2020-10-11,1.5036576472268794e-06,0.6666666666666666,경기
2020-10-12,1.2279870785686184e-06,0.3333333333333333,경기
2020-11-18,2.293077912020991e-06,0.3333333333333333,경기
2020-11-19,3.370699225866921e-06,0.5,경기
2020-11-23,3.2203334611442337e-06,0.5,경기
2020-11-24,5.074844559390718e-06,0.6666666666666666,경기
2020-12-07,7.668654000857085e-06,0.6666666666666666,경기
2020-12-08,1.1202249471840252e-05,0.8333333333333334,경기
2021-02-14,5.8642648241848296e-06,0.8333333333333334,경기
2021-02-15,8.01950745187669e-06,0.6666666666666666,경기
2020-08-22,7.468909171790586e-07,0.3333333333333333,경남
2020-08-23,1.394196378734243e-06,0.6666666666666666,경남
2020-10-11,4.9792727811937246e-08,0.6666666666666666,경남
2020-10-12,4.9792727811937246e-08,0.3333333333333333,경남
2020-11-30,4.53113823088629e-06,0.3333333333333333,경남
2020-12-01,3.4854909468356072e-06,0.5,경남
2020-12-07,3.4854909468356072e-06,0.5,경남
2020-12-08,4.2821745918266035e-06,0.6666666666666666,경남
2021-02-14,1.244818195298431e-06,0.6666666666666666,경남
2021-02-15,1.4937818343581177e-06,0.5,경남
2020-08-22,1.3117683611965425e-06,0.3333333333333333,경북
2020-08-23,3.747909603418693e-07,0.6666666666666666,경북
2020-10-11,0.0,0.6666666666666666,경북
2020-10-12,0.0,0.3333333333333333,경북
2020-11-30,1.8114896416523684e-06,0.3333333333333333,경북
2020-12-01,2.4361412422221507e-06,0.5,경북
2020-12-07,2.4361412422221507e-06,0.5,경북
2020-12-08,3.3731186430768233e-06,0.6666666666666666,경북
2021-02-14,1.3742335212535208e-06,0.6666666666666666,경북
2021-02-15,5.496934085014083e-06,0.5,경북
2020-08-22,3.244435792615664e-06,0.3333333333333333,광주
2020-08-23,9.173921896361533e-06,0.6666666666666666,광주
2020-10-11,0.0,0.6666666666666666,광주
2020-10-12,1.1187709629709186e-07,0.3333333333333333,광주
2020-11-23,3.5800670815069396e-06,0.3333333333333333,광주
2020-11-24,7.943273837093522e-06,0.5,광주
2020-12-06,4.25132965928949e-06,0.5,광주
2020-12-07,5.258223525963317e-06,0.6666666666666666,광주
2021-02-14,4.922592237072042e-06,0.6666666666666666,광주
2021-02-15,2.685050311130205e-06,0.5,광주
2020-08-22,1.989075176067448e-06,0.3333333333333333,대구
2020-08-23,2.126252774416927e-06,0.6666666666666666,대구
2020-10-11,6.858879917473958e-08,0.6666666666666666,대구
2020-10-12,0.0,0.3333333333333333,대구
2020-11-30,8.230655900968749e-07,0.3333333333333333,대구
2020-12-01,1.8518975777179682e-06,0.5,대구
2020-12-07,1.8518975777179682e-06,0.5,대구
2020-12-08,6.035814327377082e-06,0.6666666666666666,대구
2021-02-14,4.0467391513096346e-06,0.6666666666666666,대구
2021-02-15,3.635206356261197e-06,0.5,대구
2021-06-04,1.8518975777179683e-05,0.5,대구
2021-06-05,1.289469424485104e-05,0.6666666666666666,대구
2020-08-22,3.1135209763468034e-06,0.3333333333333333,대전
2020-08-23,3.447112509526819e-06,0.6666666666666666,대전
2020-10-11,2.1127463768067593e-06,0.6666666666666666,대전
2020-10-12,2.001549199080088e-06,0.3333333333333333,대전
2020-11-30,4.003098398160176e-06,0.3333333333333333,대전
2020-12-01,5.448661708606906e-06,0.5,대전
2020-12-07,5.448661708606906e-06,0.5,대전
2020-12-08,6.671830663600293e-06,0.6666666666666666,대전
2021-02-14,1.4455633104467303e-06,0.6666666666666666,대전
2021-02-15,3.3359153318001466e-06,0.5,대전
2021-04-07,1.8013942791720793e-05,0.5,대전
2021-04-08,9.785351639947097e-06,0.6666666666666666,대전
2021-04-26,6.115844774966935e-06,0.6666666666666666,대전
2021-04-27,7.561408085413664e-06,0.5,대전
2020-08-22,1.7789943463559671e-06,0.3333333333333333,부산
2020-08-23,1.5319117982509718e-06,0.6666666666666666,부산
2020-10-11,9.88330192419982e-07,0.6666666666666666,부산
2020-10-12,3.162656615743942e-06,0.3333333333333333,부산
2020-11-30,8.301973616327848e-06,0.3333333333333333,부산
2020-12-01,8.104307577843851e-06,0.5,부산
2020-12-07,8.104307577843851e-06,0.5,부산
2020-12-08,1.1118714664724797e-05,0.6666666666666666,부산
2020-12-14,1.1118714664724797e-05,0.6666666666666666,부산
2020-12-15,1.0673966078135806e-05,0.8333333333333334,부산
2021-01-25,5.781731625656893e-06,0.8333333333333334,부산
2021-01-26,8.25255710670685e-06,0.6666666666666666,부산
2021-02-14,5.682898606414895e-06,0.6666666666666666,부산
2021-02-15,4.793401433236912e-06,0.5,부산
2021-04-01,1.4429620809331736e-05,0.5,부산
2021-04-02,1.4874369395920726e-05,0.6666666666666666,부산
2021-05-23,5.4358160583099e-06,0.6666666666666666,부산
2021-05-24,4.398069356268919e-06,0.5,부산
2020-08-15,3.872936826902166e-06,0.3333333333333333,서울
2020-08-16,1.262162448052938e-05,0.5,서울
2020-08-18,8.852427032919237e-06,0.5,서울
2020-08-19,1.2344986135750655e-05,0.6666666666666666,서울
2020-08-29,1.2673494170175392e-05,0.6666666666666666,서울
2020-08-30,7.244466653892892e-06,0.8333333333333334,서울
2020-09-13,4.460793309556959e-06,0.8333333333333334,서울
2020-09-14,4.063125688937541e-06,0.6666666666666666,서울
2020-10-11,1.988338103097094e-06,0.6666666666666666,서울
2020-10-12,1.936468413451083e-06,0.3333333333333333,서울
2020-11-18,7.832323136547685e-06,0.3333333333333333,서울
2020-11-19,1.4246874756104397e-05,0.5,서울
2020-11-23,1.186086903238788e-05,0.5,서울
2020-11-24,1.7030548100440327e-05,0.6666666666666666,서울
2020-12-07,2.4015666306103163e-05,0.6666666666666666,서울
2020-12-08,2.998068061539444e-05,0.8333333333333334,서울
2021-02-14,1.4661832273272488e-05,0.8333333333333334,서울
2021-02-15,1.61141835833608e-05,0.6666666666666666,서울
2020-08-22,8.74361279085628e-07,0.3333333333333333,울산
2020-08-23,1.0200881589332325e-06,0.6666666666666666,울산
2020-10-11,1.4572687984760464e-07,0.6666666666666666,울산
2020-10-12,0.0,0.3333333333333333,울산
2020-11-30,3.205991356647302e-06,0.3333333333333333,울산
2020-12-01,1.6029956783236513e-05,0.5,울산
2020-12-07,1.6029956783236513e-05,0.5,울산
2020-12-08,1.909022126003621e-05,0.6666666666666666,울산
2021-02-14,1.6029956783236514e-06,0.6666666666666666,울산
2021-02-15,4.954713914818558e-06,0.5,울산
2021-04-12,1.6467137422779326e-05,0.5,울산
2021-04-13,1.9964582539121837e-05,0.6666666666666666,울산
2021-06-06,8.306432151313464e-06,0.6666666666666666,울산
2021-06-07,5.246167674513769e-06,0.5,울산
2020-08-18,2.8227182754410755e-06,0.3333333333333333,인천
