확진자수,지역,비율,단계
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
3.0,경남,8.962691006148705e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
4.0,경남,1.195025467486494e-06,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
3.0,경남,8.962691006148705e-07,0.3333333333333333
7.0,경남,2.0912945681013644e-06,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.6666666666666666
4.0,경남,1.195025467486494e-06,0.6666666666666666
10.0,경남,2.987563668716235e-06,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
5.0,경남,1.4937818343581174e-06,0.6666666666666666
8.0,경남,2.390050934972988e-06,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
2.0,경남,5.97512733743247e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
3.0,경남,8.962691006148705e-07,0.6666666666666666
4.0,경남,1.195025467486494e-06,0.6666666666666666
2.0,경남,5.97512733743247e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
4.0,경남,1.195025467486494e-06,0.6666666666666666
3.0,경남,8.962691006148705e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
2.0,경남,5.97512733743247e-07,0.6666666666666666
3.0,경남,8.962691006148705e-07,0.6666666666666666
3.0,경남,8.962691006148705e-07,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
1.0,경남,2.987563668716235e-07,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.6666666666666666
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
0.0,경남,0.0,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
9.0,경남,2.6888073018446114e-06,0.3333333333333333
4.0,경남,1.195025467486494e-06,0.3333333333333333
2.0,경남,5.97512733743247e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
3.0,경남,8.962691006148705e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
4.0,경남,1.195025467486494e-06,0.3333333333333333
16.0,경남,4.780101869945976e-06,0.3333333333333333
9.0,경남,2.6888073018446114e-06,0.3333333333333333
2.0,경남,5.97512733743247e-07,0.3333333333333333
7.0,경남,2.0912945681013644e-06,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
1.0,경남,2.987563668716235e-07,0.3333333333333333
2.0,경남,5.97512733743247e-07,0.3333333333333333
21.0,경남,6.273883704304094e-06,0.3333333333333333
14.0,경남,4.182589136202729e-06,0.3333333333333333
36.0,경남,1.0755229207378446e-05,0.3333333333333333
7.0,경남,2.0912945681013644e-06,0.3333333333333333
6.0,경남,1.792538201229741e-06,0.3333333333333333
7.0,경남,2.0912945681013644e-06,0.3333333333333333
6.0,경남,1.792538201229741e-06,0.3333333333333333
10.0,경남,2.987563668716235e-06,0.5
4.0,경남,1.195025467486494e-06,0.5
27.0,경남,8.066421905533834e-06,0.5
11.0,경남,3.2863200355878584e-06,0.5
12.0,경남,3.585076402459482e-06,0.5
6.0,경남,1.792538201229741e-06,0.5
22.0,경남,6.572640071175717e-06,0.6666666666666666
14.0,경남,4.182589136202729e-06,0.6666666666666666
6.0,경남,1.792538201229741e-06,0.6666666666666666
17.0,경남,5.0788582368176e-06,0.6666666666666666
15.0,경남,4.481345503074353e-06,0.6666666666666666
26.0,경남,7.767665538662212e-06,0.6666666666666666
8.0,경남,2.390050934972988e-06,0.6666666666666666
13.0,경남,3.883832769331106e-06,0.6666666666666666
19.0,경남,5.676370970560847e-06,0.6666666666666666
43.0,경남,1.284652377547981e-05,0.6666666666666666
26.0,경남,7.767665538662212e-06,0.6666666666666666
31.0,경남,9.261447373020328e-06,0.6666666666666666
16.0,경남,4.780101869945976e-06,0.6666666666666666
14.0,경남,4.182589136202729e-06,0.6666666666666666
