date,avg_infect_ratio,stage,area
2020-08-22,1.989075176067448e-06,0.3333333333333333,措备
2020-08-23,2.126252774416927e-06,0.6666666666666666,措备
2020-10-11,6.858879917473958e-08,0.6666666666666666,措备
2020-10-12,0.0,0.3333333333333333,措备
2020-11-30,8.230655900968749e-07,0.3333333333333333,措备
2020-12-01,1.8518975777179682e-06,0.5,措备
2020-12-06,2.400607971115885e-06,0.5,措备
2020-12-07,5.349926335629686e-06,0.6666666666666666,措备
2021-02-14,4.0467391513096346e-06,0.6666666666666666,措备
2021-02-15,3.635206356261197e-06,0.5,措备
2021-06-13,1.0562675072909892e-05,0.5,措备
2021-06-14,7.544767909221352e-07,0.3333333333333333,措备
