date,avg_infect_ratio,stage,area
2020-08-22,8.74361279085628e-07,0.3333333333333333,울산
2020-08-23,1.0200881589332325e-06,0.6666666666666666,울산
2020-10-11,1.4572687984760464e-07,0.6666666666666666,울산
2020-10-12,0.0,0.3333333333333333,울산
2020-11-30,3.205991356647302e-06,0.3333333333333333,울산
2020-12-01,1.6029956783236513e-05,0.5,울산
2020-12-06,9.03506655055149e-06,0.5,울산
2020-12-07,1.500986862430328e-05,0.6666666666666666,울산
2021-02-14,1.6029956783236514e-06,0.6666666666666666,울산
2021-02-15,4.954713914818558e-06,0.5,울산
2021-06-13,5.246167674513769e-06,0.5,울산
2021-06-14,4.37180639542814e-07,0.3333333333333333,울산
