date,avg_infect_ratio,stage,location,before_after
2020-08-23,4.824158332384947e-06,0.6666666666666666,강원,0
2020-08-23,4.4952384460859735e-06,0.6666666666666666,강원,1
2020-10-12,3.289198862989737e-07,0.3333333333333333,강원,0
2020-10-12,6.578397725979474e-07,0.3333333333333333,강원,1
2020-12-01,9.86759658896921e-06,0.5,강원,0
2020-12-01,5.701278029182211e-06,0.5,강원,1
2020-12-07,5.262718180783579e-06,0.6666666666666666,강원,0
2020-12-07,1.096399620996579e-05,0.6666666666666666,강원,1
2021-02-15,3.6181187492887106e-06,0.5,강원,0
2021-02-15,3.7277587113883684e-06,0.5,강원,1
2021-06-14,8.661557005872973e-06,0.3333333333333333,강원,0
2021-06-14,1.096399620996579e-07,0.3333333333333333,강원,1
2020-08-23,4.586155824041982e-06,0.6666666666666666,경기,0
2020-08-23,4.247832853415934e-06,0.6666666666666666,경기,1
2020-10-12,1.5036576472268794e-06,0.3333333333333333,경기,0
2020-10-12,1.2279870785686184e-06,0.3333333333333333,경기,1
2020-12-01,5.074844559390718e-06,0.5,경기,0
2020-12-01,7.668654000857085e-06,0.5,경기,1
2020-12-07,7.305270069443923e-06,0.6666666666666666,경기,0
2020-12-07,1.0199811040355665e-05,0.6666666666666666,경기,1
2021-02-15,5.8642648241848296e-06,0.5,경기,0
2021-02-15,8.01950745187669e-06,0.5,경기,1
2021-06-14,7.21755670668902e-06,0.3333333333333333,경기,0
2021-06-14,2.7567056865826125e-07,0.3333333333333333,경기,1
2020-08-23,7.468909171790586e-07,0.6666666666666666,경남,0
2020-08-23,1.394196378734243e-06,0.6666666666666666,경남,1
2020-10-12,4.9792727811937246e-08,0.3333333333333333,경남,0
2020-10-12,4.9792727811937246e-08,0.3333333333333333,경남,1
2020-12-01,4.53113823088629e-06,0.5,경남,0
2020-12-01,3.4854909468356072e-06,0.5,경남,1
2020-12-07,3.4854909468356076e-06,0.6666666666666666,경남,0
2020-12-07,4.979272781193725e-06,0.6666666666666666,경남,1
2021-02-15,1.244818195298431e-06,0.5,경남,0
2021-02-15,1.4937818343581177e-06,0.5,경남,1
2021-06-14,6.473054615551842e-06,0.3333333333333333,경남,0
2021-06-14,9.958545562387449e-08,0.3333333333333333,경남,1
2020-08-23,1.3117683611965425e-06,0.6666666666666666,경북,0
2020-08-23,3.747909603418693e-07,0.6666666666666666,경북,1
2020-10-12,0.0,0.3333333333333333,경북,0
2020-10-12,0.0,0.3333333333333333,경북,1
2020-12-01,1.8114896416523684e-06,0.5,경북,0
2020-12-01,2.4361412422221507e-06,0.5,경북,1
2020-12-07,2.6860018824500634e-06,0.6666666666666666,경북,0
2020-12-07,2.9983276827349544e-06,0.6666666666666666,경북,1
2021-02-15,1.3742335212535208e-06,0.5,경북,0
2021-02-15,5.496934085014083e-06,0.5,경북,1
2021-06-14,1.8739548017093467e-06,0.3333333333333333,경북,0
2021-06-14,1.2493032011395644e-07,0.3333333333333333,경북,1
2020-08-23,3.244435792615664e-06,0.6666666666666666,광주,0
2020-08-23,9.173921896361533e-06,0.6666666666666666,광주,1
2020-10-12,0.0,0.3333333333333333,광주,0
2020-10-12,1.1187709629709186e-07,0.3333333333333333,광주,1
2020-12-01,7.943273837093522e-06,0.5,광주,0
2020-12-01,3.0206816000214802e-06,0.5,광주,1
2020-12-07,4.25132965928949e-06,0.6666666666666666,광주,0
2020-12-07,5.258223525963317e-06,0.6666666666666666,광주,1
2021-02-15,4.922592237072042e-06,0.5,광주,0
2021-02-15,2.685050311130205e-06,0.5,광주,1
2021-06-14,2.0137877333476536e-06,0.3333333333333333,광주,0
2021-06-14,3.356312888912756e-07,0.3333333333333333,광주,1
2020-08-23,1.989075176067448e-06,0.6666666666666666,대구,0
2020-08-23,2.126252774416927e-06,0.6666666666666666,대구,1
2020-10-12,6.858879917473958e-08,0.3333333333333333,대구,0
2020-10-12,0.0,0.3333333333333333,대구,1
2020-12-01,8.230655900968749e-07,0.5,대구,0
2020-12-01,1.8518975777179682e-06,0.5,대구,1
2020-12-07,2.400607971115885e-06,0.6666666666666666,대구,0
2020-12-07,5.349926335629686e-06,0.6666666666666666,대구,1
2021-02-15,4.0467391513096346e-06,0.5,대구,0
2021-02-15,3.635206356261197e-06,0.5,대구,1
2021-06-14,1.0562675072909892e-05,0.3333333333333333,대구,0
2021-06-14,7.544767909221352e-07,0.3333333333333333,대구,1
2020-08-23,3.1135209763468034e-06,0.6666666666666666,대전,0
2020-08-23,3.447112509526819e-06,0.6666666666666666,대전,1
2020-10-12,2.1127463768067593e-06,0.3333333333333333,대전,0
2020-10-12,2.001549199080088e-06,0.3333333333333333,대전,1
2020-12-01,4.003098398160176e-06,0.5,대전,0
2020-12-01,5.448661708606906e-06,0.5,대전,1
2020-12-07,6.44943630814695e-06,0.6666666666666666,대전,0
2020-12-07,7.783802440867007e-06,0.6666666666666666,대전,1
2021-02-15,1.4455633104467303e-06,0.5,대전,0
2021-02-15,3.3359153318001466e-06,0.5,대전,1
2021-06-14,1.3454858504927255e-05,0.3333333333333333,대전,0
2021-06-14,1.4455633104467303e-06,0.3333333333333333,대전,1
2020-08-23,1.7789943463559671e-06,0.6666666666666666,부산,0
2020-08-23,1.5319117982509718e-06,0.6666666666666666,부산,1
2020-10-12,9.88330192419982e-07,0.3333333333333333,부산,0
2020-10-12,3.162656615743942e-06,0.3333333333333333,부산,1
2020-12-01,8.301973616327848e-06,0.5,부산,0
2020-12-01,8.104307577843851e-06,0.5,부산,1
2020-12-07,8.74672220291684e-06,0.6666666666666666,부산,0
