date,avg_infect_ratio,stage,area
2020-08-22,2.5060847738308613e-07,0.3333333333333333,力林
2020-08-23,2.506084773830861e-06,0.6666666666666666,力林
2020-10-11,0.0,0.6666666666666666,力林
2020-10-12,0.0,0.3333333333333333,力林
2020-11-30,2.5060847738308616e-06,0.3333333333333333,力林
2020-12-01,1.2530423869154308e-06,0.5,力林
2020-12-06,7.518254321492584e-07,0.5,力林
2020-12-07,4.009735638129379e-06,0.6666666666666666,力林
2021-02-14,2.506084773830861e-06,0.6666666666666666,力林
2021-02-15,2.7566932512139474e-06,0.5,力林
2021-06-13,9.523122140557273e-06,0.5,力林
2021-06-14,2.5060847738308613e-07,0.3333333333333333,力林
