date,avg_infect_ratio,stage,area
2020-08-22,1.3117683611965425e-06,0.3333333333333333,版合
2020-08-23,3.747909603418693e-07,0.6666666666666666,版合
2020-10-11,0.0,0.6666666666666666,版合
2020-10-12,0.0,0.3333333333333333,版合
2020-11-30,1.8114896416523684e-06,0.3333333333333333,版合
2020-12-01,2.4361412422221507e-06,0.5,版合
2020-12-06,2.6860018824500634e-06,0.5,版合
2020-12-07,2.9983276827349544e-06,0.6666666666666666,版合
2021-02-14,1.3742335212535208e-06,0.6666666666666666,版合
2021-02-15,5.496934085014083e-06,0.5,版合
2021-06-13,1.8739548017093467e-06,0.5,版合
2021-06-14,1.2493032011395644e-07,0.3333333333333333,版合
