date,avg_infect_ratio,stage,area
2020-08-22,7.468909171790586e-07,0.3333333333333333,경남
2020-08-23,1.394196378734243e-06,0.6666666666666666,경남
2020-10-11,4.9792727811937246e-08,0.6666666666666666,경남
2020-10-12,4.9792727811937246e-08,0.3333333333333333,경남
2020-11-30,4.53113823088629e-06,0.3333333333333333,경남
2020-12-01,3.4854909468356072e-06,0.5,경남
2020-12-06,3.4854909468356076e-06,0.5,경남
2020-12-07,4.979272781193725e-06,0.6666666666666666,경남
2021-02-14,1.244818195298431e-06,0.6666666666666666,경남
2021-02-15,1.4937818343581177e-06,0.5,경남
2021-06-13,6.473054615551842e-06,0.5,경남
2021-06-14,9.958545562387449e-08,0.3333333333333333,경남
