date,avg_infect_ratio,stage,area
2020-08-22,1.7789943463559671e-06,0.3333333333333333,何魂
2020-08-23,1.5319117982509718e-06,0.6666666666666666,何魂
2020-10-11,9.88330192419982e-07,0.6666666666666666,何魂
2020-10-12,3.162656615743942e-06,0.3333333333333333,何魂
2020-11-30,8.301973616327848e-06,0.3333333333333333,何魂
2020-12-01,8.104307577843851e-06,0.5,何魂
2020-12-06,8.74672220291684e-06,0.5,何魂
2020-12-07,1.0723382587756803e-05,0.6666666666666666,何魂
2021-02-14,5.682898606414895e-06,0.6666666666666666,何魂
2021-02-15,4.793401433236912e-06,0.5,何魂
2021-06-13,4.398069356268919e-06,0.5,何魂
2021-06-14,3.903080805443827e-07,0.3333333333333333,何魂
