朝楼,犬柳磊荐,瘤开,厚啦,窜拌
2020-08-29,3.0,面巢,1.3707085969472491e-06,0.6666666666666666
2020-08-30,0.0,面巢,0.0,0.6666666666666666
2020-08-31,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-01,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-02,21.0,面巢,9.594960178630744e-06,0.6666666666666666
2020-09-03,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-04,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-05,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-06,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-07,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-08,6.0,面巢,2.7414171938944983e-06,0.6666666666666666
2020-09-09,10.0,面巢,4.569028656490831e-06,0.6666666666666666
2020-09-10,14.0,面巢,6.3966401190871625e-06,0.6666666666666666
2020-09-11,3.0,面巢,1.3707085969472491e-06,0.6666666666666666
2020-09-12,3.0,面巢,1.3707085969472491e-06,0.6666666666666666
2020-09-13,8.0,面巢,3.6552229251926646e-06,0.6666666666666666
2020-09-14,3.0,面巢,1.3707085969472491e-06,0.6666666666666666
2020-09-15,4.0,面巢,1.8276114625963323e-06,0.6666666666666666
2020-09-16,6.0,面巢,2.7414171938944983e-06,0.6666666666666666
2020-09-17,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-18,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-09-19,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-20,0.0,面巢,0.0,0.6666666666666666
2020-09-21,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-22,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-23,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-09-24,0.0,面巢,0.0,0.6666666666666666
2020-09-25,0.0,面巢,0.0,0.6666666666666666
2020-09-26,0.0,面巢,0.0,0.6666666666666666
2020-09-27,0.0,面巢,0.0,0.6666666666666666
2020-09-28,0.0,面巢,0.0,0.6666666666666666
2020-09-29,3.0,面巢,1.3707085969472491e-06,0.6666666666666666
2020-09-30,0.0,面巢,0.0,0.6666666666666666
2020-10-01,0.0,面巢,0.0,0.6666666666666666
2020-10-02,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-10-03,2.0,面巢,9.138057312981662e-07,0.6666666666666666
2020-10-04,0.0,面巢,0.0,0.6666666666666666
2020-10-05,0.0,面巢,0.0,0.6666666666666666
2020-10-06,0.0,面巢,0.0,0.6666666666666666
2020-10-07,0.0,面巢,0.0,0.6666666666666666
2020-10-08,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-10-09,0.0,面巢,0.0,0.6666666666666666
2020-10-10,0.0,面巢,0.0,0.6666666666666666
2020-10-11,1.0,面巢,4.569028656490831e-07,0.6666666666666666
2020-10-12,1.0,面巢,4.569028656490831e-07,0.3333333333333333
