날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-15,3.872936826902166e-06,0.3333333333333333,서울
2020-08-16,1.262162448052938e-05,0.5,서울
2020-08-18,8.852427032919237e-06,0.5,서울
2020-08-19,1.2344986135750655e-05,0.6666666666666666,서울
2020-08-29,1.2673494170175392e-05,0.6666666666666666,서울
2020-08-30,7.244466653892892e-06,0.8333333333333334,서울
2020-09-13,4.460793309556959e-06,0.8333333333333334,서울
2020-09-14,4.063125688937541e-06,0.6666666666666666,서울
2020-10-11,1.988338103097094e-06,0.6666666666666666,서울
2020-10-12,1.936468413451083e-06,0.3333333333333333,서울
2020-11-18,7.832323136547685e-06,0.3333333333333333,서울
2020-11-19,1.4246874756104397e-05,0.5,서울
2020-11-23,1.186086903238788e-05,0.5,서울
2020-11-24,1.7030548100440327e-05,0.6666666666666666,서울
2020-12-07,2.4015666306103163e-05,0.6666666666666666,서울
2020-12-08,2.998068061539444e-05,0.8333333333333334,서울
2021-02-14,1.4661832273272488e-05,0.8333333333333334,서울
2021-02-15,1.61141835833608e-05,0.6666666666666666,서울
