"지역","인구"
"서울",9639541
"부산",3372692
"대구",2429940
"인천",2952237
"광주",1489730
"대전",1498839
"울산",1143692
"경기",13300900
"강원",1520127
"충북",1629343
"충남",2188649
"전북",1807423
"전남",1787543
"경북",2668154
"경남",3347209
"제주",665048
